Subdivision,Year,Month,Rainfall_mm
Andaman & Nicobar Islands,1950,2,0.000
Andaman & Nicobar Islands,1950,3,0.000
Andaman & Nicobar Islands,1950,4,95.500
Andaman & Nicobar Islands,1950,5,264.200
Andaman & Nicobar Islands,1950,6,369.900
Andaman & Nicobar Islands,1950,7,366.700
Andaman & Nicobar Islands,1950,8,347.300
Andaman & Nicobar Islands,1950,9,494.500
Andaman & Nicobar Islands,1950,10,224.600
Andaman & Nicobar Islands,1950,11,89.300
Andaman & Nicobar Islands,1950,12,169.400
Andaman & Nicobar Islands,1951,1,82.700
Andaman & Nicobar Islands,1951,2,7.200
Andaman & Nicobar Islands,1951,3,0.000
Andaman & Nicobar Islands,1951,4,45.400
Andaman & Nicobar Islands,1951,5,259.000
Andaman & Nicobar Islands,1951,6,619.900
Andaman & Nicobar Islands,1951,7,665.300
Andaman & Nicobar Islands,1951,8,101.300
Andaman & Nicobar Islands,1951,9,360.900
Andaman & Nicobar Islands,1951,10,489.000
Andaman & Nicobar Islands,1951,11,209.600
Andaman & Nicobar Islands,1951,12,434.800
Andaman & Nicobar Islands,1952,1,0.000
Andaman & Nicobar Islands,1952,2,0.800
Andaman & Nicobar Islands,1952,3,69.700
Andaman & Nicobar Islands,1952,4,39.400
Andaman & Nicobar Islands,1952,5,452.900
Andaman & Nicobar Islands,1952,6,657.700
Andaman & Nicobar Islands,1952,7,385.500
Andaman & Nicobar Islands,1952,8,541.300
Andaman & Nicobar Islands,1952,9,240.300
Andaman & Nicobar Islands,1952,10,315.600
Andaman & Nicobar Islands,1952,11,287.500
Andaman & Nicobar Islands,1952,12,89.200
Andaman & Nicobar Islands,1953,1,56.000
Andaman & Nicobar Islands,1953,2,65.300
Andaman & Nicobar Islands,1953,3,20.100
Andaman & Nicobar Islands,1953,4,159.400
Andaman & Nicobar Islands,1953,5,241.100
Andaman & Nicobar Islands,1953,6,549.900
Andaman & Nicobar Islands,1953,7,444.400
Andaman & Nicobar Islands,1953,8,262.800
Andaman & Nicobar Islands,1953,9,370.100
Andaman & Nicobar Islands,1953,10,243.600
Andaman & Nicobar Islands,1953,11,246.000
Andaman & Nicobar Islands,1953,12,63.300
Andaman & Nicobar Islands,1954,1,83.800
Andaman & Nicobar Islands,1954,2,2.100
Andaman & Nicobar Islands,1954,3,34.300
Andaman & Nicobar Islands,1954,4,58.000
Andaman & Nicobar Islands,1954,5,394.700
Andaman & Nicobar Islands,1954,6,539.400
Andaman & Nicobar Islands,1954,7,510.800
Andaman & Nicobar Islands,1954,8,605.400
Andaman & Nicobar Islands,1954,9,763.800
Andaman & Nicobar Islands,1954,10,247.200
Andaman & Nicobar Islands,1954,11,84.800
Andaman & Nicobar Islands,1954,12,124.700
Andaman & Nicobar Islands,1955,1,57.300
Andaman & Nicobar Islands,1955,2,28.200
Andaman & Nicobar Islands,1955,3,9.900
Andaman & Nicobar Islands,1955,4,68.800
Andaman & Nicobar Islands,1955,5,663.600
Andaman & Nicobar Islands,1955,6,651.100
Andaman & Nicobar Islands,1955,7,298.400
Andaman & Nicobar Islands,1955,8,356.900
Andaman & Nicobar Islands,1955,9,341.800
Andaman & Nicobar Islands,1955,10,466.500
Andaman & Nicobar Islands,1955,11,362.900
Andaman & Nicobar Islands,1955,12,44.200
Andaman & Nicobar Islands,1956,1,49.200
Andaman & Nicobar Islands,1956,2,77.200
Andaman & Nicobar Islands,1956,3,33.800
Andaman & Nicobar Islands,1956,4,130.300
